L30000          ;14-9-2021;17:47:21;116860.619;559508.698;-1.65
L30001          ;14-9-2021;17:47:22;116860.611;559508.697;-1.646
L30002          ;14-9-2021;17:47:23;116860.558;559508.707;-1.65
L30003          ;14-9-2021;17:47:24;116860.541;559508.788;-1.648
L30004          ;14-9-2021;17:47:25;116860.241;559509.127;-1.648
L30005          ;14-9-2021;17:47:26;116860.015;559509.491;-1.643
L30006          ;14-9-2021;17:47:27;116859.722;559509.92;-1.649
L30007          ;14-9-2021;17:47:28;116859.437;559510.351;-1.643
L30008          ;14-9-2021;17:47:29;116859.193;559510.784;-1.639
L30009          ;14-9-2021;17:47:30;116858.998;559511.213;-1.635
L30010          ;14-9-2021;17:47:31;116858.755;559511.628;-1.633
L30011          ;14-9-2021;17:47:32;116858.476;559512.086;-1.636
L30012          ;14-9-2021;17:47:33;116858.147;559512.557;-1.629
L30013          ;14-9-2021;17:47:34;116857.896;559512.963;-1.623
L30014          ;14-9-2021;17:47:35;116857.657;559513.4;-1.624
L30015          ;14-9-2021;17:47:36;116857.377;559513.789;-1.625
L30016          ;14-9-2021;17:47:37;116857.118;559514.199;-1.623
L30017          ;14-9-2021;17:47:38;116856.859;559514.598;-1.619
L30018          ;14-9-2021;17:47:39;116856.574;559514.996;-1.618
L30019          ;14-9-2021;17:47:40;116856.328;559515.437;-1.606
L30020          ;14-9-2021;17:47:41;116856.079;559515.745;-1.606
L30021          ;14-9-2021;17:47:42;116855.826;559516.029;-1.586
L30022          ;14-9-2021;17:47:43;116855.497;559516.424;-1.594
L30023          ;14-9-2021;17:47:44;116855.24;559516.872;-1.582
L30024          ;14-9-2021;17:47:45;116855.004;559517.321;-1.564
L30025          ;14-9-2021;17:47:46;116854.758;559517.723;-1.547
L30026          ;14-9-2021;17:47:47;116854.442;559518.158;-1.544
L30027          ;14-9-2021;17:47:48;116854.188;559518.623;-1.545
L30028          ;14-9-2021;17:47:49;116853.854;559519.047;-1.53
L30029          ;14-9-2021;17:47:50;116853.583;559519.451;-1.51
L30030          ;14-9-2021;17:47:51;116853.153;559519.892;-1.506
L30031          ;14-9-2021;17:47:52;116852.777;559520.415;-1.499
L30032          ;14-9-2021;17:47:53;116852.382;559520.87;-1.478
L30033          ;14-9-2021;17:47:54;116852.063;559521.313;-1.463
L30034          ;14-9-2021;17:47:55;116851.766;559521.836;-1.451
L30035          ;14-9-2021;17:47:56;116851.444;559522.286;-1.429
L30036          ;14-9-2021;17:47:57;116851.046;559522.748;-1.429
L30037          ;14-9-2021;17:47:58;116850.737;559523.2;-1.438
L30038          ;14-9-2021;17:47:59;116850.539;559523.613;-1.435
L30039          ;14-9-2021;0.741666667;116850.222;559524.021;-1.419
L30040          ;14-9-2021;17:48:01;116849.904;559524.519;-1.4
L30041          ;14-9-2021;17:48:02;116849.599;559524.972;-1.394
L30042          ;14-9-2021;17:48:03;116849.278;559525.415;-1.369
L30043          ;14-9-2021;17:48:04;116849.021;559525.841;-1.334
L30044          ;14-9-2021;17:48:05;116848.661;559526.328;-1.303
L30045          ;14-9-2021;17:48:06;116848.258;559526.789;-1.284
L30046          ;14-9-2021;17:48:07;116847.864;559527.28;-1.281
L30047          ;14-9-2021;17:48:08;116847.484;559527.805;-1.274
L30048          ;14-9-2021;17:48:09;116847.076;559528.29;-1.252
L30049          ;14-9-2021;17:48:10;116846.684;559528.788;-1.237
L30050          ;14-9-2021;17:48:11;116846.326;559529.264;-1.227
L30051          ;14-9-2021;17:48:12;116845.959;559529.796;-1.211
L30052          ;14-9-2021;17:48:13;116845.534;559530.312;-1.192
L30053          ;14-9-2021;17:48:14;116845.104;559530.848;-1.188
L30054          ;14-9-2021;17:48:15;116844.736;559531.399;-1.183
L30055          ;14-9-2021;17:48:16;116844.339;559531.93;-1.181
L30056          ;14-9-2021;17:48:17;116843.974;559532.414;-1.164
L30057          ;14-9-2021;17:48:18;116843.639;559532.912;-1.149
L30058          ;14-9-2021;17:48:19;116843.259;559533.425;-1.138
L30059          ;14-9-2021;17:48:20;116842.896;559533.94;-1.126
L30060          ;14-9-2021;17:48:21;116842.509;559534.46;-1.119
L30061          ;14-9-2021;17:48:22;116842.069;559535.06;-1.099
L30062          ;14-9-2021;17:48:23;116841.642;559535.631;-1.088
L30063          ;14-9-2021;17:48:24;116841.264;559536.211;-1.035
L30064          ;14-9-2021;17:48:25;116840.894;559536.756;-0.952
L30065          ;14-9-2021;17:48:26;116840.577;559537.34;-0.87
L30066          ;14-9-2021;17:48:27;116840.285;559538.006;-0.787
L30067          ;14-9-2021;17:48:28;116839.845;559538.571;-0.698
L30068          ;14-9-2021;17:48:29;116839.475;559539.241;-0.633
L30069          ;14-9-2021;17:48:30;116838.966;559539.86;-0.559
L30070          ;14-9-2021;17:48:31;116838.548;559540.459;-0.458
L30071          ;14-9-2021;17:48:32;116837.987;559541.218;-0.389
L30072          ;14-9-2021;17:48:33;116837.353;559542.116;-0.293
L30073          ;14-9-2021;17:48:34;116836.663;559543.115;-0.194
L30074          ;14-9-2021;17:48:35;116835.895;559544.183;-0.101
L30075          ;14-9-2021;17:48:36;116835.121;559545.18;-0.022
L30076          ;14-9-2021;17:48:37;116834.23;559546.205;0.096
L30077          ;14-9-2021;17:48:38;116833.336;559547.283;0.207
L30078          ;14-9-2021;17:48:39;116832.454;559548.37;0.337
L30079          ;14-9-2021;17:48:40;116831.631;559549.352;0.457
L30080          ;14-9-2021;17:48:41;116830.782;559550.368;0.589
L30081          ;14-9-2021;17:48:42;116830.018;559551.332;0.734
