L60001          	11/10/2021	16:02:42	115470.629	558176.430	  -1.414	0.01	0.01
L60002          	11/10/2021	16:02:43	115470.405	558176.560	  -1.409	0.01	0.01
L60003          	11/10/2021	16:02:44	115470.109	558176.875	  -1.407	0.01	0.01
L60004          	11/10/2021	16:02:45	115469.715	558177.134	  -1.409	0.01	0.01
L60005          	11/10/2021	16:02:46	115469.304	558177.449	  -1.401	0.01	0.01
L60006          	11/10/2021	16:02:47	115468.891	558177.713	  -1.406	0.01	0.01
L60007          	11/10/2021	16:02:48	115468.556	558178.028	  -1.401	0.01	0.01
L60008          	11/10/2021	16:02:49	115468.168	558178.378	  -1.397	0.01	0.01
L60009          	11/10/2021	16:02:50	115467.807	558178.661	  -1.404	0.01	0.01
L60010          	11/10/2021	16:02:51	115467.327	558179.000	  -1.402	0.01	0.01
L60011          	11/10/2021	16:02:52	115466.837	558179.376	  -1.396	0.01	0.01
L60012          	11/10/2021	16:02:53	115466.298	558179.736	  -1.394	0.01	0.01
L60013          	11/10/2021	16:02:54	115465.764	558180.140	  -1.384	0.01	0.01
L60014          	11/10/2021	16:02:55	115465.283	558180.561	  -1.376	0.01	0.01
L60015          	11/10/2021	16:02:56	115464.753	558180.888	  -1.393	0.01	0.01
L60016          	11/10/2021	16:02:57	115464.235	558181.247	  -1.377	0.01	0.01
L60017          	11/10/2021	16:02:58	115463.754	558181.629	  -1.379	0.01	0.01
L60018          	11/10/2021	16:02:59	115463.316	558182.065	  -1.376	0.01	0.01
L60019          	11/10/2021	16:02:60	115462.871	558182.428	  -1.370	0.01	0.01
L60020          	11/10/2021	16:03:01	115462.311	558182.699	  -1.373	0.01	0.01
L60021          	11/10/2021	16:03:02	115461.865	558183.052	  -1.380	0.01	0.01
L60022          	11/10/2021	16:03:03	115461.534	558183.418	  -1.363	0.01	0.01
L60023          	11/10/2021	16:03:04	115461.200	558183.843	  -1.357	0.01	0.01
L60024          	11/10/2021	16:03:05	115460.778	558184.198	  -1.357	0.01	0.01
L60025          	11/10/2021	16:03:06	115460.297	558184.551	  -1.360	0.01	0.01
L60026          	11/10/2021	16:03:07	115459.853	558184.859	  -1.361	0.01	0.01
L60027          	11/10/2021	16:03:08	115459.401	558185.207	  -1.348	0.01	0.01
L60028          	11/10/2021	16:03:09	115459.073	558185.628	  -1.349	0.01	0.01
L60029          	11/10/2021	16:03:10	115458.612	558185.948	  -1.354	0.01	0.01
L60030          	11/10/2021	16:03:11	115458.260	558186.303	  -1.336	0.01	0.01
L60031          	11/10/2021	16:03:12	115457.778	558186.630	  -1.339	0.01	0.01
L60032          	11/10/2021	16:03:13	115457.353	558186.967	  -1.333	0.01	0.01
L60033          	11/10/2021	16:03:14	115457.047	558187.416	  -1.319	0.01	0.01
L60034          	11/10/2021	16:03:15	115456.636	558187.742	  -1.337	0.01	0.01
L60035          	11/10/2021	16:03:16	115456.198	558188.175	  -1.318	0.01	0.01
L60036          	11/10/2021	16:03:17	115455.750	558188.548	  -1.324	0.01	0.01
L60037          	11/10/2021	16:03:18	115455.418	558188.964	  -1.317	0.01	0.01
L60038          	11/10/2021	16:03:19	115454.952	558189.310	  -1.323	0.01	0.01
L60039          	11/10/2021	16:03:20	115454.538	558189.775	  -1.318	0.01	0.01
L60040          	11/10/2021	16:03:21	115454.147	558190.163	  -1.313	0.01	0.01
L60041          	11/10/2021	16:03:22	115453.641	558190.516	  -1.310	0.01	0.01
L60042          	11/10/2021	16:03:23	115453.237	558190.962	  -1.297	0.01	0.01
L60043          	11/10/2021	16:03:24	115452.748	558191.431	  -1.297	0.01	0.01
L60044          	11/10/2021	16:03:25	115452.334	558191.837	  -1.292	0.01	0.01
L60045          	11/10/2021	16:03:26	115451.914	558192.234	  -1.289	0.01	0.01
L60046          	11/10/2021	16:03:27	115451.381	558192.652	  -1.294	0.01	0.01
L60047          	11/10/2021	16:03:28	115450.964	558193.090	  -1.287	0.01	0.01
L60048          	11/10/2021	16:03:29	115450.526	558193.525	  -1.286	0.01	0.01
L60049          	11/10/2021	16:03:30	115450.009	558193.953	  -1.287	0.01	0.01
L60050          	11/10/2021	16:03:31	115449.519	558194.287	  -1.286	0.01	0.01
L60051          	11/10/2021	16:03:32	115448.942	558194.561	  -1.299	0.01	0.01
L60052          	11/10/2021	16:03:33	115448.482	558194.892	  -1.293	0.01	0.01
L60053          	11/10/2021	16:03:34	115447.955	558195.213	  -1.284	0.01	0.01
L60054          	11/10/2021	16:03:35	115447.517	558195.581	  -1.267	0.01	0.01
L60055          	11/10/2021	16:03:36	115447.048	558195.918	  -1.270	0.01	0.01
L60056          	11/10/2021	16:03:37	115446.528	558196.357	  -1.252	0.01	0.01
L60057          	11/10/2021	16:03:38	115446.091	558196.755	  -1.253	0.01	0.01
L60058          	11/10/2021	16:03:39	115445.601	558196.988	  -1.256	0.01	0.01
L60059          	11/10/2021	16:03:40	115445.026	558197.394	  -1.254	0.01	0.01
L60060          	11/10/2021	16:03:41	115444.429	558197.680	  -1.254	0.01	0.01
L60061          	11/10/2021	16:03:42	115443.898	558198.124	  -1.236	0.01	0.01
L60062          	11/10/2021	16:03:43	115443.374	558198.516	  -1.230	0.01	0.02
L60063          	11/10/2021	16:03:44	115442.778	558198.895	  -1.221	0.01	0.02
L60064          	11/10/2021	16:03:45	115442.265	558199.300	  -1.226	0.01	0.02
L60065          	11/10/2021	16:03:46	115441.788	558199.575	  -1.224	0.01	0.01
L60066          	11/10/2021	16:03:47	115441.306	558199.955	  -1.222	0.01	0.01
