Point ID;GNSS Position Solution.Start;Time;Easting;Northing;Elevation;GNSS Position Solution.Antenna Height
L100001;18-9-2021;13:26:50;117462.112;560038.59;-1.416;2
L100002;18-9-2021;13:26:51;117461.856;560038.699;-1.41;2
L100003;18-9-2021;13:26:52;117461.299;560039.038;-1.407;2
L100004;18-9-2021;13:26:53;117460.632;560039.323;-1.431;2
L100005;18-9-2021;13:26:54;117460.02;560039.497;-1.415;2
L100006;18-9-2021;13:26:55;117459.488;560039.857;-1.409;2
L100007;18-9-2021;13:26:56;117458.778;560039.928;-1.404;2
L100008;18-9-2021;13:26:57;117458.279;560040.315;-1.392;2
L100009;18-9-2021;13:26:58;117457.635;560040.439;-1.412;2
L100010;18-9-2021;13:26:59;117456.992;560040.787;-1.415;2
L100011;18-9-2021;13:27:00;117456.268;560040.993;-1.42;2
L100012;18-9-2021;13:27:01;117455.641;560041.273;-1.41;2
L100013;18-9-2021;13:27:02;117454.949;560041.447;-1.426;2
L100014;18-9-2021;13:27:03;117454.361;560041.674;-1.425;2
L100015;18-9-2021;13:27:04;117453.728;560041.938;-1.42;2
L100016;18-9-2021;13:27:05;117453.177;560042.095;-1.447;2
L100017;18-9-2021;13:27:06;117452.609;560042.3;-1.44;2
L100018;18-9-2021;13:27:07;117452.009;560042.53;-1.452;2
L100019;18-9-2021;13:27:08;117451.38;560042.874;-1.431;2
L100020;18-9-2021;13:27:09;117450.81;560043.116;-1.425;2
L100021;18-9-2021;13:27:10;117450.176;560043.438;-1.44;2
L100022;18-9-2021;13:27:11;117449.534;560043.665;-1.423;2
L100023;18-9-2021;13:27:12;117448.94;560043.906;-1.437;2
L100024;18-9-2021;13:27:13;117448.356;560044.088;-1.415;2
L100025;18-9-2021;13:27:14;117447.678;560044.413;-1.445;2
L100026;18-9-2021;13:27:15;117446.981;560044.695;-1.406;2
L100027;18-9-2021;13:27:16;117446.463;560044.824;-1.423;2
L100028;18-9-2021;13:27:17;117445.849;560045.242;-1.436;2
L100029;18-9-2021;13:27:18;117444.985;560045.468;-1.433;2
L100030;18-9-2021;13:27:19;117444.414;560045.762;-1.412;2
L100031;18-9-2021;13:27:20;117443.823;560045.94;-1.425;2
L100032;18-9-2021;13:27:21;117443.107;560046.197;-1.405;2
L100033;18-9-2021;13:27:22;117442.374;560046.502;-1.411;2
L100034;18-9-2021;13:27:23;117441.631;560046.728;-1.431;2
L100035;18-9-2021;13:27:24;117440.955;560047.101;-1.416;2
L100036;18-9-2021;13:27:25;117440.242;560047.154;-1.408;2
L100037;18-9-2021;13:27:26;117439.624;560047.438;-1.415;2
L100038;18-9-2021;13:27:27;117438.897;560047.604;-1.447;2
L100039;18-9-2021;13:27:28;117438.277;560047.955;-1.448;2
L100040;18-9-2021;13:27:29;117437.607;560048.176;-1.449;2
L100041;18-9-2021;13:27:30;117437.009;560048.483;-1.447;2
L100042;18-9-2021;13:27:31;117436.444;560048.761;-1.443;2
L100043;18-9-2021;13:27:32;117435.781;560048.993;-1.439;2
L100044;18-9-2021;13:27:33;117435.213;560049.272;-1.445;2
L100045;18-9-2021;13:27:34;117434.597;560049.556;-1.44;2
L100046;18-9-2021;13:27:35;117434.065;560049.921;-1.456;2
L100047;18-9-2021;13:27:36;117433.374;560050.133;-1.449;2
L100048;18-9-2021;13:27:37;117432.754;560050.468;-1.413;2
L100049;18-9-2021;13:27:38;117432.038;560050.613;-1.412;2
L100050;18-9-2021;13:27:39;117431.409;560050.848;-1.389;2
L100051;18-9-2021;13:27:40;117430.722;560050.982;-1.369;2
L100052;18-9-2021;13:27:41;117430.077;560051.276;-1.331;2
L100053;18-9-2021;13:27:42;117429.245;560051.593;-1.278;2
L100054;18-9-2021;13:27:44;117428.033;560052.038;-1.216;2
L100055;18-9-2021;13:27:45;117427.326;560052.404;-1.179;2
L100056;18-9-2021;13:27:47;117426.097;560053.095;-1.109;2
L100057;18-9-2021;13:27:48;117425.257;560053.339;-1.074;2
L100058;18-9-2021;13:27:49;117424.507;560053.717;-1.054;2
L100059;18-9-2021;13:27:50;117423.669;560054.03;-1.005;2
L100060;18-9-2021;13:27:51;117423.027;560054.239;-0.898;2
L100061;18-9-2021;13:27:52;117422.505;560054.521;-0.824;2
L100062;18-9-2021;13:27:53;117421.959;560054.729;-0.768;2
L100063;18-9-2021;13:27:54;117421.244;560054.937;-0.721;2
L100064;18-9-2021;13:27:55;117420.606;560055.164;-0.616;2
L100065;18-9-2021;13:27:56;117419.809;560055.432;-0.511;2
L100066;18-9-2021;13:27:57;117418.909;560055.742;-0.434;2
L100067;18-9-2021;13:27:58;117417.904;560056.017;-0.328;2
L100068;18-9-2021;13:27:59;117416.854;560056.286;-0.222;2
L100069;18-9-2021;13:28:00;117415.874;560056.692;-0.119;2
L100070;18-9-2021;13:28:01;117414.851;560057.115;-0.002;2
L100071;18-9-2021;13:28:02;117413.836;560057.526;0.136;2
L100072;18-9-2021;13:28:03;117412.777;560057.981;0.283;2
L100073;18-9-2021;13:28:04;117411.61;560058.532;0.438;2
L100074;18-9-2021;13:28:05;117410.765;560058.993;0.563;2
L100075;18-9-2021;13:28:06;117409.695;560059.389;0.695;2
L100076;18-9-2021;13:28:07;117408.704;560059.862;0.826;2
L100077;18-9-2021;13:28:08;117407.732;560060.314;0.91;2
L100078;18-9-2021;13:28:09;117406.775;560060.813;1.01;2
L100079;18-9-2021;13:28:10;117405.69;560061.369;0.982;2
L100080;18-9-2021;13:28:11;117404.728;560061.894;0.933;2
L100081;18-9-2021;13:28:12;117403.383;560062.526;0.868;2
L100082;18-9-2021;13:28:13;117402.516;560062.867;0.861;2
L100083;18-9-2021;13:28:14;117401.281;560063.449;0.957;2
L100084;18-9-2021;13:28:15;117400.323;560063.919;1.021;2
L100085;18-9-2021;13:28:16;117399.353;560064.419;0.999;2
L100086;18-9-2021;13:28:17;117398.299;560064.901;0.97;2
L100087;18-9-2021;13:28:18;117397.237;560065.386;0.928;2
L100088;18-9-2021;13:28:19;117396.232;560065.825;0.833;2
L100089;18-9-2021;13:28:20;117395.204;560066.299;0.775;2
L100090;18-9-2021;13:28:21;117394.137;560066.837;0.727;2
L100091;18-9-2021;13:28:22;117392.995;560067.309;0.693;2
L100092;18-9-2021;13:28:23;117391.877;560067.866;0.673;2
L100093;18-9-2021;13:28:24;117390.877;560068.525;0.714;2
L100094;18-9-2021;13:28:25;117389.818;560069.03;0.738;2
L100095;18-9-2021;13:28:26;117388.839;560069.6;0.79;2
L100096;18-9-2021;13:28:27;117387.991;560070.143;0.955;2
L200001;18-9-2021;13:17:47;117248.071;559768.254;-1.428;2
L200002;18-9-2021;13:17:48;117248.032;559768.318;-1.435;2
L200003;18-9-2021;13:17:49;117247.709;559768.631;-1.438;2
L200004;18-9-2021;13:17:50;117247.357;559769.056;-1.424;2
L200005;18-9-2021;13:17:51;117246.868;559769.506;-1.43;2
L200006;18-9-2021;13:17:52;117246.378;559770.021;-1.44;2
L200007;18-9-2021;13:17:53;117246.022;559770.471;-1.429;2
