L200001         ;2-10-2021;09:46:52;117236.472;559781.946;-1.411;0.01;0.01
L200002         ;2-10-2021;09:46:53;117236.1;559782.433;-1.405;0.01;0.01
L200003         ;2-10-2021;09:46:54;117235.782;559782.708;-1.412;0.01;0.01
L200004         ;2-10-2021;09:46:55;117235.323;559783.123;-1.406;0.01;0.01
L200005         ;2-10-2021;09:46:56;117234.983;559783.557;-1.404;0.01;0.01
L200006         ;2-10-2021;09:46:57;117234.669;559783.891;-1.404;0.01;0.01
L200007         ;2-10-2021;09:46:58;117234.279;559784.297;-1.411;0.01;0.01
L200008         ;2-10-2021;09:46:59;117234.02;559784.775;-1.416;0.01;0.01
L200009         ;2-10-2021;0.407638889;117233.582;559785.176;-1.411;0.01;0.01
L200010         ;2-10-2021;09:47:01;117233.247;559785.397;-1.418;0.01;0.01
L200011         ;2-10-2021;09:47:02;117232.949;559785.92;-1.411;0.01;0.01
L200012         ;2-10-2021;09:47:03;117232.573;559786.347;-1.408;0.01;0.01
L200013         ;2-10-2021;09:47:04;117232.205;559786.714;-1.405;0.01;0.01
L200014         ;2-10-2021;09:47:05;117231.949;559786.995;-1.405;0.01;0.01
L200015         ;2-10-2021;09:47:06;117231.573;559787.382;-1.411;0.01;0.01
L200016         ;2-10-2021;09:47:07;117231.241;559787.735;-1.409;0.01;0.01
L200017         ;2-10-2021;09:47:08;117230.75;559788.273;-1.42;0.01;0.01
L200018         ;2-10-2021;09:47:09;117230.496;559788.548;-1.418;0.01;0.01
L200019         ;2-10-2021;09:47:10;117230.071;559788.85;-1.414;0.01;0.01
L200020         ;2-10-2021;09:47:11;117229.842;559789.203;-1.421;0.01;0.01
L200021         ;2-10-2021;09:47:12;117229.467;559789.433;-1.429;0.01;0.01
L200022         ;2-10-2021;09:47:13;117229.161;559789.887;-1.437;0.01;0.01
L200023         ;2-10-2021;09:47:14;117228.87;559790.122;-1.447;0.01;0.01
L200024         ;2-10-2021;09:47:15;117228.604;559790.462;-1.457;0.01;0.01
L200025         ;2-10-2021;09:47:16;117228.129;559790.947;-1.455;0.01;0.01
L200026         ;2-10-2021;09:47:17;117227.995;559791.302;-1.452;0.01;0.01
L200027         ;2-10-2021;09:47:18;117227.439;559791.528;-1.45;0.01;0.01
L200028         ;2-10-2021;09:47:19;117227.181;559791.929;-1.454;0.01;0.01
L200029         ;2-10-2021;09:47:20;117226.759;559792.31;-1.447;0.01;0.01
L200030         ;2-10-2021;09:47:21;117226.453;559792.704;-1.438;0.01;0.01
L200031         ;2-10-2021;09:47:22;117226.129;559793.124;-1.429;0.01;0.01
L200032         ;2-10-2021;09:47:23;117225.856;559793.547;-1.43;0.01;0.01
L200033         ;2-10-2021;09:47:24;117225.456;559793.917;-1.423;0.01;0.01
L200034         ;2-10-2021;09:47:25;117225.084;559794.164;-1.422;0.01;0.01
L200035         ;2-10-2021;09:47:26;117224.736;559794.402;-1.418;0.01;0.01
L200036         ;2-10-2021;09:47:27;117224.372;559794.648;-1.428;0.01;0.01
L200037         ;2-10-2021;09:47:28;117224.131;559795.1;-1.421;0.01;0.01
L200038         ;2-10-2021;09:47:29;117223.798;559795.343;-1.416;0.01;0.01
L200039         ;2-10-2021;09:47:30;117223.383;559795.632;-1.409;0.01;0.01
L200040         ;2-10-2021;09:47:31;117223.1;559796.136;-1.409;0.01;0.01
L200041         ;2-10-2021;09:47:32;117222.756;559796.313;-1.402;0.01;0.01
L200042         ;2-10-2021;09:47:33;117222.409;559796.63;-1.405;0.01;0.01
L200043         ;2-10-2021;09:47:34;117221.917;559796.973;-1.385;0.01;0.01
L200044         ;2-10-2021;09:47:35;117221.54;559797.18;-1.384;0.01;0.01
L200045         ;2-10-2021;09:47:36;117221.314;559797.381;-1.387;0.01;0.01
L200046         ;2-10-2021;09:47:37;117220.858;559797.723;-1.385;0.01;0.01
L200047         ;2-10-2021;09:47:38;117220.586;559797.99;-1.378;0.01;0.01
L200048         ;2-10-2021;09:47:39;117220.232;559798.173;-1.38;0.01;0.01
L200049         ;2-10-2021;09:47:40;117219.894;559798.659;-1.369;0.01;0.01
L200050         ;2-10-2021;09:47:41;117219.613;559798.809;-1.367;0.01;0.01
L200051         ;2-10-2021;09:47:42;117219.34;559799.186;-1.36;0.01;0.01
L200052         ;2-10-2021;09:47:43;117218.947;559799.598;-1.35;0.01;0.01
L200053         ;2-10-2021;09:47:44;117218.652;559800.021;-1.355;0.01;0.01
L200054         ;2-10-2021;09:47:45;117218.316;559800.172;-1.358;0.01;0.01
L200055         ;2-10-2021;09:47:46;117218.005;559800.526;-1.355;0.01;0.01
L200056         ;2-10-2021;09:47:47;117217.642;559800.854;-1.359;0.01;0.01
L200057         ;2-10-2021;09:47:48;117217.323;559801.229;-1.35;0.01;0.01
L200058         ;2-10-2021;09:47:49;117217.055;559801.568;-1.355;0.01;0.01
