L40001;30-9-2021 00:00;07:48:32;116127.515;558916.902;-1.466;2
L40002;30-9-2021 00:00;07:48:33;116127.496;558916.981;-1.461;2
L40003;30-9-2021 00:00;07:48:34;116127.351;558917.157;-1.452;2
L40004;30-9-2021 00:00;07:48:35;116127.228;558917.347;-1.442;2
L40005;30-9-2021 00:00;07:48:36;116127.077;558917.627;-1.429;2
L40006;30-9-2021 00:00;07:48:37;116126.923;558917.842;-1.433;2
L40007;30-9-2021 00:00;07:48:38;116126.776;558918.013;-1.431;2
L40008;30-9-2021 00:00;07:48:39;116126.602;558918.213;-1.408;2
L40009;30-9-2021 00:00;07:48:40;116126.46;558918.532;-1.415;2
L40010;30-9-2021 00:00;07:48:41;116126.4;558918.83;-1.402;2
L40011;30-9-2021 00:00;07:48:42;116126.302;558919.039;-1.426;2
L40012;30-9-2021 00:00;07:48:43;116126.051;558919.348;-1.396;2
L40013;30-9-2021 00:00;07:48:44;116125.901;558919.691;-1.389;2
L40014;30-9-2021 00:00;07:48:45;116125.822;558919.973;-1.385;2
L40015;30-9-2021 00:00;07:48:46;116125.622;558920.174;-1.383;2
L40016;30-9-2021 00:00;07:48:47;116125.431;558920.6;-1.374;2
L40017;30-9-2021 00:00;07:48:48;116125.318;558920.961;-1.37;2
L40018;30-9-2021 00:00;07:48:49;116124.991;558921.189;-1.365;2
L40019;30-9-2021 00:00;07:48:50;116124.8;558921.418;-1.34;2
L40020;30-9-2021 00:00;07:48:51;116124.557;558921.727;-1.345;2
L40021;30-9-2021 00:00;07:48:52;116124.458;558922.015;-1.337;2
L40022;30-9-2021 00:00;07:48:53;116124.342;558922.241;-1.332;2
L40023;30-9-2021 00:00;07:48:54;116124.193;558922.57;-1.333;2
L40024;30-9-2021 00:00;07:48:55;116124.008;558922.892;-1.317;2
L40025;30-9-2021 00:00;07:48:56;116123.714;558923.244;-1.289;2
L40026;30-9-2021 00:00;07:48:57;116123.548;558923.625;-1.306;2
L40027;30-9-2021 00:00;07:48:58;116123.347;558923.772;-1.285;2
L40028;30-9-2021 00:00;07:48:59;116123.149;558924.175;-1.277;2
L40029;30-9-2021 00:00;07:49:00;116122.946;558924.561;-1.273;2
L40030;30-9-2021 00:00;07:49:01;116122.714;558924.745;-1.291;2
L40031;30-9-2021 00:00;07:49:02;116122.528;558924.976;-1.277;2
L40032;30-9-2021 00:00;07:49:03;116122.274;558925.308;-1.27;2
L40033;30-9-2021 00:00;07:49:04;116122.014;558925.578;-1.279;2
L40034;30-9-2021 00:00;07:49:05;116121.831;558925.946;-1.268;2
L40035;30-9-2021 00:00;07:49:06;116121.551;558926.156;-1.259;2
L40036;30-9-2021 00:00;07:49:07;116121.336;558926.515;-1.251;2
L40037;30-9-2021 00:00;07:49:08;116121.047;558926.993;-1.234;2
L40038;30-9-2021 00:00;07:49:09;116120.745;558927.311;-1.222;2
L40039;30-9-2021 00:00;07:49:10;116120.548;558927.5;-1.245;2
L40040;30-9-2021 00:00;07:49:11;116120.271;558927.816;-1.227;2
L40041;30-9-2021 00:00;07:49:12;116120.088;558928.248;-1.227;2
L40042;30-9-2021 00:00;07:49:13;116119.838;558928.612;-1.221;2
L40043;30-9-2021 00:00;07:49:14;116119.686;558929.016;-1.217;2
L40044;30-9-2021 00:00;07:49:15;116119.401;558929.375;-1.213;2
L40045;30-9-2021 00:00;07:49:16;116119.264;558929.672;-1.2;2
L40046;30-9-2021 00:00;07:49:17;116119.123;558929.964;-1.216;2
L40047;30-9-2021 00:00;07:49:18;116118.812;558930.125;-1.196;2
L40048;30-9-2021 00:00;07:49:19;116118.535;558930.524;-1.191;2
L40049;30-9-2021 00:00;07:49:20;116118.163;558930.825;-1.164;2
L40050;30-9-2021 00:00;07:49:21;116117.983;558931.157;-1.163;2
L40051;30-9-2021 00:00;07:49:22;116117.711;558931.388;-1.167;2
L40052;30-9-2021 00:00;07:49:23;116117.446;558931.759;-1.161;2
L40053;30-9-2021 00:00;07:49:24;116117.111;558932.216;-1.15;2
L40054;30-9-2021 00:00;07:49:25;116116.838;558932.615;-1.146;2
L40055;30-9-2021 00:00;07:49:26;116116.682;558932.856;-1.131;2
L40056;30-9-2021 00:00;07:49:27;116116.392;558933.201;-1.14;2
L40057;30-9-2021 00:00;07:49:28;116116.092;558933.63;-1.121;2
L40058;30-9-2021 00:00;07:49:29;116115.718;558933.969;-1.112;2
L40059;30-9-2021 00:00;07:49:30;116115.503;558934.452;-1.107;2
L40060;30-9-2021 00:00;07:49:31;116115.107;558934.752;-1.102;2
L40061;30-9-2021 00:00;07:49:32;116114.882;558935.078;-1.113;2
L40062;30-9-2021 00:00;07:49:33;116114.63;558935.568;-1.111;2
L40063;30-9-2021 00:00;07:49:34;116114.327;558935.906;-1.104;2
L40064;30-9-2021 00:00;07:49:35;116114.167;558936.317;-1.1;2
L40065;30-9-2021 00:00;07:49:36;116113.757;558936.644;-1.094;2
L40066;30-9-2021 00:00;07:49:37;116113.459;558937.099;-1.08;2
L40067;30-9-2021 00:00;07:49:38;116113.195;558937.446;-1.081;2
L40068;30-9-2021 00:00;07:49:39;116113.024;558937.746;-1.059;2
L40069;30-9-2021 00:00;07:49:40;116112.77;558938.127;-1.058;2
L40070;30-9-2021 00:00;07:49:41;116112.442;558938.371;-1.058;2
L40071;30-9-2021 00:00;07:49:42;116112.229;558938.706;-1.065;2
L40072;30-9-2021 00:00;07:49:43;116111.862;558939.013;-1.056;2
L40073;30-9-2021 00:00;07:49:44;116111.692;558939.525;-1.062;2
