# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde dagreeksen <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# SOURCE: ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)
"# Comment: These time series are inhomogeneous because of station relocations and changes in observation techniques. As a result, these series are not suitable for trend analysis. For climate change studies we refer to the homogenized series of daily data <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> or the Central Netherlands Temperature <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>."
# 
# STN         LON(east)   LAT(north)  ALT(m)      NAME
# 235         4.781       52.928      1.20        De Kooy     
# DD        : Windrichting (in graden) gemiddeld over de laatste 10 minuten van het afgelopen uur (360=noord; 90=oost; 180=zuid; 270=west; 0=windstil 990=veranderlijk. Zie http://www.knmi.nl/kennis-en-datacentrum/achtergrond/klimatologische-brochures-en-boeken / Mean wind direction (in degrees) during the 10-minute period preceding the time of observation (360=north; 90=east; 180=south; 270=west; 0=calm 990=variable)
# FF        : Windsnelheid (in 0.1 m/s) gemiddeld over de laatste 10 minuten van het afgelopen uur / Mean wind speed (in 0.1 m/s) during the 10-minute period preceding the time of observation
# T         : Temperatuur (in 0.1 graden Celsius) op 1.50 m hoogte tijdens de waarneming / Temperature (in 0.1 degrees Celsius) at 1.50 m at the time of observation
# STN,YYYYMMDD,H,   DD,   FF,    T
  235,19890101,    1,  270,   31,   78
  235,19890101,    2,  280,   36,   80
  235,19890101,    3,  280,   36,   79
  235,19890101,    4,  270,   31,   79
  235,19890101,    5,  270,   31,   76
  235,19890101,    6,  290,   26,   73
  235,19890101,    7,  300,   26,   76
  235,19890101,    8,  310,   36,   80
  235,19890101,    9,  280,   36,   79
  235,19890101,   10,  290,   36,   80
  235,19890101,   11,  290,   26,   81
  235,19890101,   12,  230,   15,   81
  235,19890101,   13,  310,   26,   85
  235,19890101,   14,  300,   15,   83
  235,19890101,   15,  250,   10,   76
  235,19890101,   16,  300,   41,   76
  235,19890101,   17,  310,   36,   76
  235,19890101,   18,  310,   36,   76
  235,19890101,   19,  320,   31,   75
  235,19890101,   20,  120,   21,   75
  235,19890101,   21,  130,   10,   66
  235,19890101,   22,  170,    5,   60
  235,19890101,   23,  250,    5,   56
  235,19890101,   24,    0,    0,   55
  235,19890102,    1,  300,   10,   55
  235,19890102,    2,  330,    5,   57
  235,19890102,    3,  330,    5,   53
  235,19890102,    4,  150,   10,   59
  235,19890102,    5,  170,   15,   50
  235,19890102,    6,  140,   21,   55
  235,19890102,    7,  100,   10,   61
  235,19890102,    8,  160,   10,   50
  235,19890102,    9,    0,    0,   52
  235,19890102,   10,  120,   10,   59
  235,19890102,   11,  160,   10,   63
  235,19890102,   12,  170,    5,   70
  235,19890102,   13,  110,   10,   72
  235,19890102,   14,   90,   15,   70
  235,19890102,   15,   70,   15,   68
  235,19890102,   16,   70,   21,   68
  235,19890102,   17,   80,   26,   68
  235,19890102,   18,   60,   26,   65
  235,19890102,   19,  100,   26,   61
  235,19890102,   20,  120,   41,   63
  235,19890102,   21,  120,   41,   58
  235,19890102,   22,  120,   36,   52
  235,19890102,   23,  120,   31,   48
  235,19890102,   24,  110,   26,   36
  235,19890103,    1,  120,   41,   31
  235,19890103,    2,  120,   36,   35
  235,19890103,    3,  130,   41,   37
  235,19890103,    4,  130,   46,   37
  235,19890103,    5,  130,   46,   36
  235,19890103,    6,  140,   46,   33
  235,19890103,    7,  130,   41,   29
  235,19890103,    8,  150,   36,   26
  235,19890103,    9,  170,   26,   16
  235,19890103,   10,  170,   26,   24
  235,19890103,   11,  170,   31,   38
  235,19890103,   12,  170,   46,   48
  235,19890103,   13,  170,   36,   50
  235,19890103,   14,  180,   36,   50
  235,19890103,   15,  170,   41,   52
  235,19890103,   16,  220,   46,   58
  235,19890103,   17,  220,   51,   54
  235,19890103,   18,  210,   51,   55
  235,19890103,   19,  200,   46,   52
  235,19890103,   20,  200,   72,   51
  235,19890103,   21,  200,   72,   48
  235,19890103,   22,  210,   72,   45
  235,19890103,   23,  180,   67,   34
  235,19890103,   24,  190,   62,   26
  235,19890104,    1,  210,   82,   33
  235,19890104,    2,  220,   87,   35
  235,19890104,    3,  210,   82,   39
  235,19890104,    4,  210,   87,   37
  235,19890104,    5,  200,   82,   34
  235,19890104,    6,  200,   87,   37
  235,19890104,    7,  200,   82,   39
  235,19890104,    8,  190,   72,   37
  235,19890104,    9,  170,   72,   27
  235,19890104,   10,  200,   93,   42
  235,19890104,   11,  200,   93,   48
  235,19890104,   12,  200,   98,   55
  235,19890104,   13,  200,  113,   58
  235,19890104,   14,  200,   87,   58
  235,19890104,   15,  210,   93,   65
  235,19890104,   16,  210,   93,   68
  235,19890104,   17,  200,   77,   65
  235,19890104,   18,  210,   82,   77
  235,19890104,   19,  220,   77,   80
  235,19890104,   20,  260,   93,   80
  235,19890104,   21,  260,   77,   74
  235,19890104,   22,  250,   72,   72
  235,19890104,   23,  250,   67,   72
  235,19890104,   24,  250,   77,   73
  235,19890105,    1,  250,   67,   67
  235,19890105,    2,  260,   82,   63
  235,19890105,    3,  250,   67,   58
  235,19890105,    4,  260,   67,   60
  235,19890105,    5,  270,   72,   56
  235,19890105,    6,  260,   72,   60
  235,19890105,    7,  250,   82,   60
  235,19890105,    8,  250,   77,   60
  235,19890105,    9,  250,   77,   60
  235,19890105,   10,  260,   82,   62
  235,19890105,   11,  260,   98,   63
  235,19890105,   12,  260,   98,   66
  235,19890105,   13,  260,   98,   66
  235,19890105,   14,  250,   82,   61
  235,19890105,   15,  250,   72,   62
  235,19890105,   16,  250,   82,   64
  235,19890105,   17,  240,   82,   64
  235,19890105,   18,  230,   77,   66
  235,19890105,   19,  220,   67,   55
  235,19890105,   20,  210,   67,   55
  235,19890105,   21,  170,   46,   48
  235,19890105,   22,  160,   77,   49
  235,19890105,   23,  170,   77,   51
  235,19890105,   24,  160,   77,   52
  235,19890106,    1,  160,   67,   54
  235,19890106,    2,  160,   62,   57
  235,19890106,    3,  160,   46,   60
  235,19890106,    4,  170,   21,   65
  235,19890106,    5,  290,   36,   81
  235,19890106,    6,  290,   31,   80
  235,19890106,    7,  320,   15,   79
  235,19890106,    8,   70,   41,   62
  235,19890106,    9,  120,   26,   60
  235,19890106,   10,   70,   31,   58
  235,19890106,   11,   60,   51,   57
  235,19890106,   12,   60,   36,   56
  235,19890106,   13,   50,   46,   54
  235,19890106,   14,   50,   51,   56
  235,19890106,   15,   50,   46,   55
  235,19890106,   16,   40,   36,   53
  235,19890106,   17,   20,   41,   51
  235,19890106,   18,   30,   26,   54
  235,19890106,   19,   30,    5,   54
  235,19890106,   20,   20,    5,   50
  235,19890106,   21,  320,    5,   44
  235,19890106,   22,  290,    5,   45
  235,19890106,   23,  300,    5,   43
  235,19890106,   24,  260,   10,   37
  235,19890107,    1,  280,   15,   43
  235,19890107,    2,  300,   26,   55
  235,19890107,    3,  290,   36,   60
  235,19890107,    4,  290,   41,   56
  235,19890107,    5,  290,   41,   68
  235,19890107,    6,  280,   46,   68
  235,19890107,    7,  290,   51,   71
  235,19890107,    8,  280,   46,   72
  235,19890107,    9,  280,   67,   77
  235,19890107,   10,  300,   46,   79
  235,19890107,   11,  290,   46,   81
  235,19890107,   12,  270,   36,   82
  235,19890107,   13,  280,   36,   83
  235,19890107,   14,  260,   36,   80
  235,19890107,   15,  250,   41,   76
  235,19890107,   16,  250,   57,   75
  235,19890107,   17,  260,   72,   76
  235,19890107,   18,  250,   46,   75
  235,19890107,   19,  250,   51,   79
  235,19890107,   20,  260,   57,   82
  235,19890107,   21,  250,   72,   84
  235,19890107,   22,  250,   67,   87
  235,19890107,   23,  250,   77,   89
  235,19890107,   24,  260,   67,   88
  235,19890108,    1,  260,   57,   86
  235,19890108,    2,  270,   62,   86
  235,19890108,    3,  270,   67,   85
  235,19890108,    4,  270,   67,   85
  235,19890108,    5,  260,   67,   86
  235,19890108,    6,  270,   67,   87
  235,19890108,    7,  270,   67,   87
  235,19890108,    8,  270,   67,   88
  235,19890108,    9,  270,   72,   89
  235,19890108,   10,  270,   62,   90
  235,19890108,   11,  260,   62,   91
  235,19890108,   12,  260,   57,   93
  235,19890108,   13,  250,   67,   92
  235,19890108,   14,  240,   67,   92
  235,19890108,   15,  260,   72,   91
  235,19890108,   16,  260,   62,   90
  235,19890108,   17,  240,   62,   88
  235,19890108,   18,  240,   62,   90
  235,19890108,   19,  250,   57,   90
  235,19890108,   20,  240,   57,   92
  235,19890108,   21,  240,   41,   88
