Point ID;GNSS Position Solution.Start Time;;Easting;Northing;Elevation;GNSS Position Solution.Antenna Height
L100001;18-10-2021 11:26;;117448.438;560044.494;-1.435;2
L100002;18-10-2021 11:26;;117448.158;560044.634;-1.437;2
L100003;18-10-2021 11:26;;117447.73;560044.758;-1.418;2
L100004;18-10-2021 11:26;;117447.267;560044.886;-1.428;2
L100005;18-10-2021 11:26;;117446.87;560044.969;-1.431;2
L100006;18-10-2021 11:26;;117446.436;560045.089;-1.434;2
L100007;18-10-2021 11:26;;117446.08;560045.354;-1.427;2
L100008;18-10-2021 11:26;;117445.631;560045.457;-1.44;2
L100009;18-10-2021 11:26;;117445.18;560045.665;-1.443;2
L100010;18-10-2021 11:26;;117444.702;560045.786;-1.433;2
L100011;18-10-2021 11:26;;117444.238;560045.887;-1.422;2
L100012;18-10-2021 11:26;;117443.795;560046.099;-1.417;2
L100013;18-10-2021 11:27;;117443.421;560046.17;-1.4;2
L100014;18-10-2021 11:27;;117442.967;560046.396;-1.421;2
L100015;18-10-2021 11:27;;117442.473;560046.602;-1.414;2
L100016;18-10-2021 11:27;;117441.973;560046.745;-1.418;2
L100017;18-10-2021 11:27;;117441.523;560046.949;-1.42;2
L100018;18-10-2021 11:27;;117441.044;560047.147;-1.418;2
L100019;18-10-2021 11:27;;117440.66;560047.301;-1.425;2
L100020;18-10-2021 11:27;;117440.188;560047.459;-1.425;2
L100021;18-10-2021 11:27;;117439.723;560047.629;-1.435;2
L100022;18-10-2021 11:27;;117439.223;560047.844;-1.436;2
L100023;18-10-2021 11:27;;117438.708;560048.02;-1.442;2
L100024;18-10-2021 11:27;;117438.17;560048.226;-1.452;2
L100025;18-10-2021 11:27;;117437.727;560048.447;-1.45;2
L100026;18-10-2021 11:27;;117437.217;560048.531;-1.437;2
L100027;18-10-2021 11:27;;117436.712;560048.722;-1.444;2
L100028;18-10-2021 11:27;;117436.237;560048.918;-1.442;2
L100029;18-10-2021 11:27;;117435.752;560049.029;-1.45;2
L100030;18-10-2021 11:27;;117435.319;560049.368;-1.452;2
L100031;18-10-2021 11:27;;117434.888;560049.457;-1.458;2
L100032;18-10-2021 11:27;;117434.33;560049.635;-1.472;2
L100033;18-10-2021 11:27;;117433.813;560049.809;-1.458;2
L100034;18-10-2021 11:27;;117433.413;560049.951;-1.453;2
L100035;18-10-2021 11:27;;117432.901;560050.128;-1.447;2
L100036;18-10-2021 11:27;;117432.378;560050.263;-1.441;2
L100037;18-10-2021 11:27;;117431.842;560050.454;-1.415;2
L100038;18-10-2021 11:27;;117431.355;560050.596;-1.384;2
L100039;18-10-2021 11:27;;117430.915;560050.78;-1.382;2
L100040;18-10-2021 11:27;;117430.313;560051.038;-1.352;2
L100041;18-10-2021 11:27;;117429.91;560051.167;-1.337;2
L100042;18-10-2021 11:27;;117429.457;560051.365;-1.315;2
L100043;18-10-2021 11:27;;117428.994;560051.58;-1.287;2
L100044;18-10-2021 11:27;;117428.463;560051.809;-1.264;2
L100045;18-10-2021 11:27;;117427.976;560051.921;-1.251;2
L100046;18-10-2021 11:27;;117427.452;560052.15;-1.211;2
L100047;18-10-2021 11:27;;117426.883;560052.428;-1.135;2
L100048;18-10-2021 11:27;;117426.376;560052.548;-1.064;2
